PRISM Time Series Data
Location:  Lat: 47.4902   Lon: -121.8047   Elev: 469ft
"Climate variables: ppt,tmean,tdmean"
Spatial resolution: 4km
Period: 2008-01-01 - 2021-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2024-Jul-11
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmean (degrees F),tdmean (degrees F)
2008-01-01,0.02,38.1,30.3
2008-01-02,0.25,40.0,27.9
2008-01-03,0.37,39.5,37.8
2008-01-04,0.34,45.0,38.8
2008-01-05,0.21,46.3,37.7
2008-01-06,0.11,37.9,33.5
2008-01-07,0.18,35.3,32.7
2008-01-08,0.19,35.9,31.2
2008-01-09,0.26,37.8,34.9
2008-01-10,0.50,38.5,32.9
2008-01-11,1.14,43.6,41.5
2008-01-12,0.23,43.5,39.7
2008-01-13,0.33,43.2,40.2
2008-01-14,0.00,41.8,36.2
2008-01-15,0.90,39.5,32.6
2008-01-16,0.00,33.1,26.7
2008-01-17,0.01,33.2,28.2
2008-01-18,0.00,33.5,31.0
2008-01-19,0.02,35.4,31.5
2008-01-20,0.52,37.0,34.8
2008-01-21,0.05,34.9,26.8
2008-01-22,0.00,30.2,15.6
2008-01-23,0.00,30.9,19.8
2008-01-24,0.00,33.3,19.5
2008-01-25,0.00,34.4,18.6
2008-01-26,0.00,34.4,20.3
2008-01-27,0.51,33.8,29.1
2008-01-28,0.15,33.9,29.5
2008-01-29,0.38,34.4,30.9
2008-01-30,0.40,36.6,32.4
2008-01-31,0.35,38.6,34.0
2008-02-01,0.53,38.3,34.4
2008-02-02,0.17,37.1,33.9
2008-02-03,0.01,35.4,32.3
2008-02-04,0.05,34.4,31.2
2008-02-05,0.23,35.1,32.8
2008-02-06,0.45,40.7,34.6
2008-02-07,0.50,40.1,34.8
2008-02-08,0.13,41.2,36.7
2008-02-09,1.73,41.4,39.4
2008-02-10,0.48,45.5,43.4
2008-02-11,0.37,44.0,40.8
2008-02-12,0.07,42.7,41.4
2008-02-13,0.36,43.8,38.6
2008-02-14,0.06,36.5,32.3
2008-02-15,0.00,38.1,32.7
2008-02-16,0.17,38.3,36.7
2008-02-17,0.01,38.7,36.0
2008-02-18,0.00,38.0,32.4
2008-02-19,0.00,43.7,33.3
2008-02-20,0.00,42.9,36.0
2008-02-21,0.00,42.7,36.5
2008-02-22,0.00,42.0,35.8
2008-02-23,0.01,44.8,35.9
2008-02-24,0.00,42.8,34.3
2008-02-25,0.00,47.0,37.4
2008-02-26,0.06,43.3,38.9
2008-02-27,0.00,47.2,37.8
2008-02-28,0.31,47.6,42.7
2008-02-29,0.03,48.7,42.4
2008-03-01,0.62,50.2,41.4
2008-03-02,0.29,42.1,35.3
2008-03-03,0.00,42.3,33.9
2008-03-04,0.79,41.9,36.4
2008-03-05,0.02,38.7,31.7
2008-03-06,0.01,40.8,32.3
2008-03-07,0.02,43.9,36.1
2008-03-08,0.14,45.6,41.0
2008-03-09,0.01,44.5,37.2
2008-03-10,0.01,47.7,38.6
2008-03-11,0.46,52.5,44.3
2008-03-12,0.13,39.5,35.9
2008-03-13,0.00,40.3,34.3
2008-03-14,0.52,41.0,39.2
2008-03-15,0.39,41.3,39.1
