PRISM Time Series Data
Location:  Lat: 47.4902   Lon: -121.8047   Elev: 469ft
"Climate variables: ppt,tmean"
Spatial resolution: 4km
Period: 2008-01 - 2021-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2024-Jul-11
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmean (degrees F)
2008-01,7.39,37.2
2008-02,5.74,41.4
2008-03,7.30,41.7
2008-04,4.85,44.1
2008-05,3.14,53.5
2008-06,3.54,55.5
2008-07,1.16,62.5
2008-08,3.80,63.6
2008-09,2.00,57.7
2008-10,3.11,49.2
2008-11,12.95,47.2
2008-12,8.65,34.9
2009-01,12.50,37.5
2009-02,2.04,40.5
2009-03,8.06,40.4
2009-04,6.24,47.1
2009-05,4.70,54.0
2009-06,1.79,61.7
2009-07,0.18,67.3
2009-08,1.42,64.6
2009-09,3.43,61.2
2009-10,9.03,49.9
2009-11,13.00,44.7
2009-12,3.66,35.3
2010-01,8.76,44.5
2010-02,3.31,44.5
2010-03,6.99,45.6
2010-04,6.54,48.0
2010-05,7.20,51.6
2010-06,5.20,56.8
2010-07,0.58,62.9
2010-08,0.84,63.9
2010-09,6.47,59.3
2010-10,6.96,52.1
2010-11,8.45,42.1
2010-12,11.01,41.4
2011-01,13.69,39.8
2011-02,6.03,37.9
2011-03,11.10,43.4
2011-04,8.83,44.2
2011-05,6.17,50.3
2011-06,3.87,57.1
2011-07,1.91,61.0
2011-08,0.51,64.3
2011-09,2.17,62.3
2011-10,8.10,51.1
2011-11,10.13,41.0
2011-12,5.25,37.7
2012-01,10.18,37.9
2012-02,8.52,42.0
2012-03,10.15,41.4
2012-04,6.20,49.5
2012-05,5.35,53.4
2012-06,6.38,55.9
2012-07,1.84,62.8
2012-08,0.00,66.1
2012-09,0.30,60.8
2012-10,9.56,52.1
2012-11,8.83,44.8
2012-12,11.01,39.5
2013-01,7.10,35.8
2013-02,4.05,41.5
2013-03,6.36,44.9
2013-04,11.08,48.3
2013-05,3.78,55.7
2013-06,2.44,60.4
2013-07,0.11,64.9
2013-08,2.17,66.5
2013-09,8.58,61.4
2013-10,3.38,48.8
2013-11,7.90,44.2
2013-12,7.18,35.8
2014-01,7.90,41.1
2014-02,9.32,37.9
2014-03,14.33,45.5
2014-04,6.66,50.0
2014-05,4.96,57.4
2014-06,2.81,59.1
2014-07,1.48,66.4
2014-08,2.45,67.9
2014-09,5.19,62.6
2014-10,8.64,56.2
2014-11,10.41,44.4
2014-12,7.42,42.3
2015-01,8.07,42.6
2015-02,6.70,46.8
2015-03,6.52,49.4
2015-04,4.64,49.6
2015-05,1.17,56.9
2015-06,0.56,65.0
2015-07,0.92,68.2
2015-08,2.21,67.3
2015-09,3.04,58.4
2015-10,6.51,56.1
2015-11,14.32,42.4
2015-12,15.77,40.0
2016-01,8.17,40.9
2016-02,8.75,46.0
2016-03,9.66,47.1
2016-04,1.93,55.2
2016-05,2.99,57.1
2016-06,4.22,61.2
2016-07,1.95,63.8
2016-08,0.51,66.3
2016-09,2.34,58.4
2016-10,12.88,53.1
2016-11,10.13,48.9
2016-12,7.51,35.5
2017-01,3.50,35.3
2017-02,10.31,39.1
2017-03,12.56,43.8
2017-04,6.24,48.6
2017-05,4.75,56.0
2017-06,2.53,60.4
2017-07,0.01,64.1
2017-08,0.23,68.6
2017-09,1.99,61.9
2017-10,9.52,50.3
2017-11,12.52,44.0
2017-12,8.85,38.0
2018-01,12.27,42.3
2018-02,7.73,38.9
2018-03,4.76,43.8
2018-04,10.82,49.5
2018-05,1.62,58.3
2018-06,2.50,59.2
2018-07,0.39,66.9
2018-08,0.42,66.7
2018-09,3.44,59.0
2018-10,6.81,51.3
2018-11,8.69,45.7
2018-12,10.30,40.6
2019-01,6.24,42.3
2019-02,5.58,34.1
2019-03,2.13,44.4
2019-04,7.33,50.0
2019-05,1.93,57.8
2019-06,2.02,60.0
2019-07,2.01,63.7
2019-08,1.41,66.4
2019-09,5.42,60.6
2019-10,8.18,48.6
2019-11,3.55,43.9
2019-12,9.48,41.1
2020-01,16.71,41.6
2020-02,11.67,41.5
2020-03,5.79,42.7
2020-04,3.33,49.8
2020-05,6.16,57.1
2020-06,4.32,59.2
2020-07,0.63,63.8
2020-08,0.82,64.8
2020-09,3.89,63.7
2020-10,6.30,53.0
2020-11,9.45,45.3
2020-12,9.38,43.6
2021-01,9.61,42.2
